id,title,description,source_customers,source_files,source_section,capability_tier,memory_tier,interface,operation_type,mvp,priority,status,implementation_area,acceptance_evidence,notes
YAAM-REQ-0001,"Keep API Wall, REST v2, and MCP as distinct interfaces","Maintain separate public interface roles for benchmark chat, service integration, and agent-host discovery.","TRA; iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","external_requirements/*.md","Expected Interface","Service","N/A","Multiple","Interface","Yes","P0","Accepted","Public interface architecture","Docs and implementation preserve separate API Wall, REST v2, and MCP entrypoints.","Do not turn API Wall into MCP."
YAAM-REQ-0002,"Expose read-heavy MCP memory query","Provide discoverable scoped memory query for MCP clients.","TRA; iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","external_requirements/*.md","MCP Expectations","Unified","Cross-tier","MCP","Read tool","Yes","P0","Accepted","MCP service layer","MCP client can discover and call structured memory query.","Shared by all customers."
YAAM-REQ-0003,"Expose MCP context assembly","Provide context bundle assembly with evidence and provenance.","TRA; iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","external_requirements/*.md","Required Capabilities; MCP Expectations","Unified","Cross-tier","MCP","Read tool/resource","Yes","P0","Accepted","Unified retrieval/context service","Response includes context items, evidence, provenance, warnings, and size metadata.","Shared by all customers."
YAAM-REQ-0004,"Preserve REST v2 for backend and batch integrations","Keep REST v2 available for non-agent runtime, ingestion, scripts, and test harnesses.","TRA; iAIMS; Skill Factory; Maritime Port Sandbox; SCM-Cert-Bench","TRA; IAMS; Skill-Factory; maritime-port-sandbox; 2026-05-24-scm-cert-bench","Expected Interface","Service","N/A","REST v2","Read/write API","Yes","P0","Accepted","REST v2 gateway","REST v2 remains documented and tested independently of MCP.","SCM Cognitive Sandwich does not require REST for MVP."
YAAM-REQ-0005,"Provide scoped L2 fact store and retrieve","Store and retrieve working-memory facts with scope and provenance.","TRA; iAIMS; Skill Factory; SCM-Cert-Bench","TRA; IAMS; Skill-Factory; 2026-05-24-scm-cert-bench","Required Capabilities","Raw","L2","REST v2; MCP","Read/write","Yes","P0","Accepted","L2 working memory service","Writes return fact ids; reads enforce scope.","Core shared memory function."
YAAM-REQ-0006,"Provide L3 episode assimilation/store","Persist episodes, repairs, generation attempts, simulations, and feedback history.","TRA; iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","external_requirements/*.md","Required Capabilities","Raw","L3","REST v2; MCP","Write/lifecycle","Yes","P0","Accepted","L3 episodic memory service","Write returns episode id and audit metadata; episode is retrievable by scope.","Shared by all customers."
YAAM-REQ-0007,"Provide L3 semantic episode query","Retrieve similar episodes with ranking metadata and provenance.","TRA; iAIMS; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","TRA; IAMS; scm-cognitive-sandwich; maritime-port-sandbox; 2026-05-24-scm-cert-bench","Required Capabilities","Unified","L3","REST v2; MCP","Read","Yes","P0","Accepted","L3 retrieval service","Query returns scoped ranked episodes with provenance.","Skill Factory covers similar behavior through generation history."
YAAM-REQ-0008,"Provide L4 final artifact/document storage","Store verified final artifacts, reports, and durable knowledge documents.","TRA; iAIMS; Skill Factory; SCM Cognitive Sandwich","TRA; IAMS; Skill-Factory; scm-cognitive-sandwich","Required Capabilities","Raw","L4","REST v2; MCP","Write/lifecycle","Yes","P0","Accepted","L4 semantic memory service","Finalization returns knowledge id and source metadata.","Maritime focuses on simulation evidence but also benefits."
YAAM-REQ-0009,"Return provenance on all reads and writes","Return source tier, source id, timestamp, producer, and scope metadata.","TRA; iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","external_requirements/*.md","Provenance, Evidence, and CIAR Requirements","Service","Cross-tier","Multiple","Provenance","Yes","P0","Accepted","Shared response model","Public responses include provenance for memory ids.","Shared by all customers."
YAAM-REQ-0010,"Enforce session/task/tenant/run scoping","Protect memory reads and writes with explicit scope boundaries.","TRA; iAIMS; Skill Factory; SCM Cognitive Sandwich; Maritime Port Sandbox; SCM-Cert-Bench","external_requirements/*.md","Data And Scope Requirements","Service","Cross-tier","Multiple","Security","Yes","P0","Accepted","Authorization/scope policy","Cross-session and cross-tenant reads are blocked unless explicitly allowed.","Scope identifiers vary by customer."
